Date;Wind Spd. (Ins);Wind Spd. (Avg.);Wind Spd. (Max.);Wind Spd. (Min.);Wind Spd. (Sde.);Wind Dir. (Ins);Wind Dir. (Avg.);Wind Dir. (Max.);Wind Dir. (Min.);Wind Dir. (Sde.);Air.Temp. (Ins);Air.Temp. (Avg.);Air.Temp. (Max.);Air.Temp. (Min.);Air.Temp. (Sde.);Rel. Hum. (Ins);Rel. Hum. (Avg.);Rel. Hum. (Max.);Rel. Hum. (Min.);Rel. Hum. (Sde.);Dew Point (Ins);Dew Point (Avg.);Dew Point (Max.);Dew Point (Min.);Dew Point (Sde.);Atm.Pressu (Ins);Atm.Pressu (Avg.);Atm.Pressu (Max.);Atm.Pressu (Min.);Atm.Pressu (Sde.);Visibility (Avg.);Rain (Ins);Rain (Avg.);Rain (Accu.);Rain (Max.);Rain (Min.);Rain (Sde.);Precip.Int (Ins);Precip.Int (Avg.);Precip.Int (Accu.);Precip.Int (Max.);Precip.Int (Min.);Precip.Int (Sde.);Water L.1 (Ins);Water L.1 (Avg.);Water L.1 (Max.);Water L.1 (Min.);Water L.1 (Sde.);GPSLat. (Avg.);GPSLongit. (Avg.);Battery (Avg.);Battery (Max.);Battery (Min.);Wind Spd1 (Ins);Wind Spd1 (Avg.);Wind Spd1 (Accu.);Wind Spd1 (Int.);Wind Spd1 (Max.);Wind Spd1 (Min.);Wind Spd1 (Sde.);Wind Spd1 (Inc.);
20/11/2024 00:00:00;2,5;1,5;2,6;0,2;0,4;0;97;115;0;48;19,8;19,8;19,8;19,8;0,0;65;64;65;64;0;12,9;12,9;12,9;12,8;0,0;1.016,5;1.016,4;1.016,5;1.016,4;0,4;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,80;-392,80;-392,79;-392,81;0,38;;;11,61;11,64;11,59;78,0;65,6;3.938,4;1,1;111,7;23,8;20,9;71,9;
20/11/2024 00:01:00;4,2;2,4;4,6;0,6;1,0;115;105;115;0;38;19,8;19,8;19,8;19,8;0,0;65;65;65;64;0;12,9;12,9;12,9;12,8;0,0;1.016,5;1.016,5;1.016,5;1.016,4;0,9;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,80;-392,80;-392,79;-392,81;0,38;;;11,60;11,64;11,59;209,0;130,9;7.855,6;2,2;225,8;20,3;52,6;-65,3;
20/11/2024 00:02:00;2,7;3,2;5,7;1,1;1,1;115;111;115;115;25;19,8;19,8;19,8;19,8;0,0;65;65;65;65;0;13,0;12,9;13,0;12,9;0,0;1.016,5;1.016,5;1.016,5;1.016,5;0,4;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,80;-392,80;-392,79;-392,80;0,40;;;11,60;11,64;11,58;168,7;170,9;10.255,8;2,8;299,1;60,8;56,6;-40,0;
20/11/2024 00:03:00;1,1;3,8;6,4;1,1;1,3;115;115;115;115;0;19,9;19,9;19,9;19,8;0,0;65;65;65;65;0;13,0;13,0;13,1;13,0;0,0;1.016,6;1.016,5;1.016,6;1.016,5;0,8;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,80;-392,80;-392,79;-392,80;0,33;;;11,59;11,60;11,58;58,7;193,0;11.582,4;3,2;313,1;58,7;62,9;-22,1;
20/11/2024 00:04:00;1,7;2,8;5,6;0,6;1,1;115;113;115;115;18;19,9;19,9;19,9;19,8;0,0;65;65;65;65;0;13,0;13,0;13,0;13,0;0,0;1.016,7;1.016,6;1.016,7;1.016,5;0,4;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,79;-392,80;-392,79;-392,80;0,38;;;11,60;11,61;11,60;100,1;152,3;9.139,0;2,5;275,3;42,8;52,0;40,7;
20/11/2024 00:05:00;3,9;2,5;4,1;1,0;0,8;115;110;115;115;28;19,9;19,8;19,9;19,8;0,0;65;65;65;65;0;13,0;13,0;13,1;13,0;0,0;1.016,7;1.016,7;1.016,8;1.016,6;0,8;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,80;-392,80;-392,79;-392,80;0,35;;;11,59;11,61;11,59;169,3;144,9;8.692,0;2,4;245,7;45,1;46,8;7,4;
20/11/2024 00:06:00;2,1;1,5;3,5;0,2;0,6;115;112;115;115;22;19,8;19,8;19,9;19,8;0,0;65;65;65;65;0;13,0;13,0;13,1;13,0;0,0;1.016,8;1.016,8;1.016,8;1.016,7;0,7;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,80;-392,80;-392,79;-392,80;0,33;;;11,57;11,61;11,53;80,2;79,0;4.741,2;1,3;174,5;44,9;27,2;65,8;
20/11/2024 00:07:00;2,9;1,6;2,9;0,6;0,5;115;101;115;115;44;19,8;19,8;19,8;19,8;0,0;65;65;65;65;0;13,0;13,0;13,1;13,0;0,0;1.016,8;1.016,8;1.016,8;1.016,8;0,6;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,80;-392,80;-392,79;-392,80;0,35;;;11,54;11,58;11,48;150,8;70,7;4.244,6;1,2;156,2;11,4;34,0;8,3;
20/11/2024 00:08:00;2,0;2,4;4,3;1,1;0,6;115;113;115;115;18;19,8;19,8;19,8;19,8;0,0;65;65;65;65;0;13,1;13,1;13,1;13,0;0,0;1.016,9;1.016,9;1.016,9;1.016,8;0,4;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,80;-392,80;-392,79;-392,80;0,38;;;11,57;11,58;11,52;93,8;126,0;7.561,7;2,1;196,5;43,3;29,2;-55,3;
20/11/2024 00:09:00;2,3;1,7;2,9;0,4;0,5;115;109;115;115;32;19,9;19,8;19,9;19,8;0,0;65;65;65;65;0;13,1;13,1;13,1;13,1;0,0;1.016,9;1.016,9;1.017,0;1.016,9;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,80;-392,80;-392,79;-392,80;0,33;;;11,56;11,61;11,51;95,5;83,4;5.004,7;1,4;125,7;14,6;27,8;42,6;
20/11/2024 00:10:00;1,6;1,4;2,4;0,3;0,5;0;99;115;0;46;19,8;19,8;19,9;19,8;0,0;65;65;65;65;0;13,1;13,1;13,1;13,1;0,0;1.017,0;1.017,0;1.017,0;1.016,9;0,8;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,80;-392,80;-392,79;-392,80;0,35;;;11,57;11,61;11,52;69,9;64,0;3.840,2;1,1;109,9;18,0;24,5;19,4;
20/11/2024 00:11:00;1,4;1,7;2,5;1,0;0,4;115;101;115;0;44;19,8;19,8;19,8;19,8;0,0;66;66;66;65;0;13,1;13,1;13,1;13,1;0,0;1.017,1;1.017,0;1.017,1;1.017,0;0,4;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,79;-392,80;-392,79;-392,80;0,35;;;11,56;11,60;11,50;83,7;81,7;4.903,7;1,4;123,3;43,3;19,4;-17,7;
20/11/2024 00:12:00;1,1;2,4;4,0;0,3;1,0;0;97;115;115;48;19,8;19,8;19,8;19,8;0,0;66;66;66;66;0;13,1;13,1;13,2;13,1;0,0;1.017,1;1.017,1;1.017,1;1.017,1;0,7;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,80;-392,80;-392,79;-392,80;0,43;;;11,56;11,60;11,52;78,1;132,0;7.917,3;2,2;226,0;45,7;44,7;-50,2;
20/11/2024 00:13:00;1,4;2,3;4,4;1,0;0,8;115;113;115;0;18;19,9;19,8;19,9;19,8;0,0;66;66;66;66;0;13,2;13,2;13,2;13,1;0,0;1.017,1;1.017,1;1.017,1;1.017,1;0,4;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,80;-392,80;-392,79;-392,80;0,40;;;11,56;11,60;11,52;96,6;133,5;8.010,3;2,2;235,3;56,1;47,5;-1,6;
20/11/2024 00:14:00;1,6;1,5;2,8;0,5;0,5;115;113;115;115;18;19,8;19,8;19,9;19,8;0,0;66;66;66;66;0;13,1;13,2;13,2;13,1;0,0;1.017,1;1.017,1;1.017,1;1.017,1;0,5;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,79;-392,80;-392,79;-392,80;0,35;;;11,55;11,60;11,51;83,1;79,8;4.788,3;1,3;132,9;31,1;22,9;53,7;
20/11/2024 00:15:00;3,8;2,1;3,8;1,0;0,6;115;100;115;115;44;19,8;19,7;19,8;19,7;0,0;66;66;66;66;0;13,1;13,1;13,2;13,1;0,0;1.017,1;1.017,2;1.017,2;1.017,1;0,4;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,80;-392,80;-392,79;-392,80;0,40;;;11,57;11,60;11,52;171,7;104,7;6.280,5;1,7;171,7;44,6;29,1;-24,9;
20/11/2024 00:16:00;1,8;2,5;4,8;1,2;0,9;115;113;115;115;18;19,8;19,8;19,8;19,7;0,0;66;66;66;66;0;13,2;13,2;13,2;13,1;0,0;1.017,2;1.017,2;1.017,2;1.017,1;0,7;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,80;-392,80;-392,79;-392,80;0,35;;;11,54;11,56;11,48;127,3;136,3;8.176,8;2,3;233,7;57,5;46,8;-31,6;
20/11/2024 00:17:00;2,4;2,1;5,1;0,6;1,0;115;115;115;115;0;19,8;19,8;19,9;19,8;0,0;65;66;66;65;0;13,1;13,2;13,2;13,1;0,0;1.017,3;1.017,2;1.017,3;1.017,2;0,7;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,80;-392,80;-392,79;-392,80;0,38;;;11,56;11,58;11,52;113,7;117,8;7.068,4;2,0;303,7;28,6;69,8;18,5;
20/11/2024 00:18:00;2,7;2,9;5,2;0,7;1,0;115;115;115;115;0;19,9;19,9;19,9;19,8;0,0;65;65;66;65;0;13,1;13,1;13,2;13,1;0,0;1.017,3;1.017,3;1.017,3;1.017,2;0,4;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,80;-392,80;-392,79;-392,80;0,35;;;11,54;11,56;11,51;144,0;161,4;9.683,1;2,7;262,9;55,1;48,3;-43,6;
20/11/2024 00:19:00;1,9;2,5;4,2;0,9;0,8;115;114;115;115;12;19,9;19,9;19,9;19,9;0,0;65;65;65;65;0;13,1;13,1;13,1;13,1;0,0;1.017,3;1.017,3;1.017,3;1.017,3;0,6;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,80;-392,80;-392,79;-392,80;0,35;;;11,55;11,58;11,51;132,9;149,2;8.955,0;2,5;247,1;83,5;41,4;12,1;
20/11/2024 00:20:00;2,1;2,4;5,2;1,1;0,8;115;110;115;115;28;19,9;19,9;19,9;19,9;0,0;65;65;65;65;0;13,1;13,1;13,1;13,0;0,0;1.017,3;1.017,3;1.017,3;1.017,3;0,3;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,80;-392,80;-392,79;-392,80;0,40;;;11,55;11,58;11,51;97,2;141,6;8.496,6;2,4;257,1;47,3;50,3;7,6;
20/11/2024 00:21:00;1,7;2,3;4,6;0,3;0,8;115;113;115;0;18;19,8;19,9;19,9;19,8;0,0;65;65;65;65;0;13,0;13,0;13,1;13,0;0,0;1.017,3;1.017,3;1.017,3;1.017,3;0,7;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,80;-392,80;-392,79;-392,80;0,38;;;11,56;11,58;11,52;133,1;132,9;7.972,4;2,2;211,1;22,9;42,5;8,7;
20/11/2024 00:22:00;3,0;2,0;3,1;0,6;0,6;115;104;115;115;50;19,9;19,9;19,9;19,8;0,0;65;65;65;65;0;13,0;13,0;13,0;13,0;0,0;1.017,3;1.017,3;1.017,4;1.017,3;0,5;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,80;-392,80;-392,79;-392,81;0,35;;;11,56;11,60;11,51;233,0;104,7;6.284,3;1,7;233,0;1,6;46,0;28,1;
20/11/2024 00:23:00;1,4;2,4;4,0;0,7;0,7;115;105;115;115;38;19,9;19,9;19,9;19,9;0,0;64;65;65;64;0;13,0;13,0;13,0;13,0;0,0;1.017,4;1.017,4;1.017,4;1.017,3;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,80;-392,80;-392,79;-392,81;0,35;;;11,56;11,60;11,50;66,8;124,2;7.449,3;2,1;229,5;53,8;36,0;-19,4;
20/11/2024 00:24:00;2,6;1,6;2,6;0,1;0,4;115;111;115;115;25;19,8;19,9;19,9;19,8;0,0;64;64;64;64;0;12,8;12,9;13,0;12,8;0,0;1.017,5;1.017,4;1.017,5;1.017,4;0,9;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,79;-392,80;-392,79;-392,80;0,31;;;11,55;11,58;11,51;125,8;73,5;4.410,5;1,2;125,8;28,8;19,7;50,6;
20/11/2024 00:25:00;3,1;1,8;3,2;0,4;0,9;115;104;115;115;40;19,8;19,8;19,8;19,8;0,0;64;64;64;64;0;12,8;12,8;12,9;12,8;0,0;1.017,5;1.017,5;1.017,5;1.017,5;0,3;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,80;-392,80;-392,79;-392,80;0,40;;;11,56;11,59;11,51;165,2;80,1;4.807,3;1,3;188,4;1,5;53,7;-6,6;
20/11/2024 00:26:00;0,8;2,2;3,4;0,8;0,5;115;114;115;115;12;19,8;19,8;19,8;19,8;0,0;64;64;64;64;0;12,9;12,9;12,9;12,8;0,0;1.017,5;1.017,5;1.017,5;1.017,5;0,4;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,79;-392,80;-392,79;-392,80;0,33;;;11,55;11,60;11,51;55,2;118,7;7.120,4;2,0;181,2;52,8;29,7;-38,6;
20/11/2024 00:27:00;2,0;2,6;5,5;1,2;1,1;115;115;115;115;0;19,9;19,8;19,9;19,8;0,0;64;64;64;64;0;12,9;12,9;12,9;12,8;0,0;1.017,5;1.017,5;1.017,6;1.017,5;0,4;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,80;-392,80;-392,79;-392,80;0,33;;;11,54;11,57;11,51;93,4;133,5;8.009,5;2,2;307,1;33,7;59,3;-14,8;
20/11/2024 00:28:00;0,6;2,0;4,4;0,6;0,7;115;102;115;115;40;19,8;19,8;19,9;19,8;0,0;64;64;64;64;0;12,9;12,9;12,9;12,8;0,0;1.017,5;1.017,5;1.017,6;1.017,5;0,4;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,80;-392,80;-392,79;-392,80;0,38;;;11,55;11,60;11,48;57,0;98,3;5.895,5;1,6;200,6;32,1;35,0;35,2;
20/11/2024 00:29:00;4,3;2,1;4,3;0,8;0,7;115;113;115;115;18;19,8;19,8;19,8;19,8;0,0;64;64;64;64;0;12,9;12,9;12,9;12,8;0,0;1.017,5;1.017,5;1.017,6;1.017,5;0,7;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,79;-392,80;-392,79;-392,80;0,38;;;11,53;11,57;11,48;234,7;112,7;6.760,5;1,9;234,7;53,9;39,4;-14,4;
20/11/2024 00:30:00;3,2;2,4;5,7;0,3;1,2;0;113;115;115;18;19,9;19,9;19,9;19,8;0,0;64;64;65;64;0;12,9;12,9;13,0;12,9;0,0;1.017,5;1.017,5;1.017,5;1.017,5;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,80;-392,80;-392,79;-392,80;0,38;;;11,56;11,60;11,52;150,8;128,2;7.693,5;2,1;284,9;17,8;67,0;-15,6;
20/11/2024 00:31:00;2,0;1,7;3,5;0,2;0,8;0;110;115;115;28;19,9;19,9;19,9;19,9;0,0;65;65;65;64;0;13,0;12,9;13,0;12,9;0,0;1.017,5;1.017,5;1.017,5;1.017,5;0,4;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,80;-392,80;-392,79;-392,80;0,38;;;11,55;11,60;11,47;91,3;84,7;5.079,2;1,4;145,3;17,1;33,9;43,6;
20/11/2024 00:32:00;2,3;2,6;4,3;1,2;0,6;115;108;115;0;33;19,9;19,9;19,9;19,9;0,0;65;65;65;65;0;13,0;13,0;13,0;13,0;0,0;1.017,5;1.017,5;1.017,6;1.017,5;0,6;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,80;-392,80;-392,79;-392,80;0,35;;;11,56;11,60;11,52;97,0;142,3;8.538,2;2,4;222,0;67,6;39,3;-57,7;
20/11/2024 00:33:00;2,0;2,6;4,3;1,6;0,7;115;113;115;0;18;19,9;19,9;19,9;19,9;0,0;65;65;65;65;0;13,1;13,0;13,1;13,0;0,0;1.017,5;1.017,5;1.017,6;1.017,5;0,3;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,80;-392,80;-392,79;-392,80;0,33;;;11,56;11,60;11,52;108,8;136,2;8.174,1;2,3;202,3;95,6;28,7;6,1;
20/11/2024 00:34:00;1,6;2,5;4,1;0,5;0,9;115;113;115;115;18;20,0;19,9;20,0;19,9;0,0;65;65;65;65;0;13,1;13,1;13,1;13,0;0,0;1.017,6;1.017,6;1.017,6;1.017,5;1,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,80;-392,80;-392,79;-392,80;0,35;;;11,56;11,60;11,52;135,4;134,0;8.037,7;2,2;234,0;44,0;48,7;2,3;
20/11/2024 00:35:00;1,7;2,5;5,8;0,7;0,9;20;105;115;115;37;19,9;20,0;20,0;19,9;0,0;65;65;65;65;0;13,1;13,1;13,1;13,1;0,0;1.017,5;1.017,6;1.017,6;1.017,5;0,6;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,80;-392,80;-392,79;-392,80;0,38;;;11,56;11,60;11,52;60,7;128,0;7.681,3;2,1;274,3;39,6;42,3;5,9;
20/11/2024 00:36:00;1,1;2,1;5,1;0,3;1,1;31;96;115;13;49;20,0;19,9;20,0;19,9;0,0;65;65;65;65;0;13,1;13,1;13,1;13,1;0,0;1.017,6;1.017,6;1.017,6;1.017,5;0,7;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,80;-392,80;-392,79;-392,80;0,35;;;11,55;11,60;11,46;40,4;118,1;7.084,5;2,0;274,0;25,1;70,2;9,9;
20/11/2024 00:37:00;0,8;2,6;6,3;0,2;1,5;115;104;115;48;28;20,0;19,9;20,0;19,9;0,0;65;65;65;64;0;13,0;13,0;13,1;13,0;0,0;1.017,7;1.017,6;1.017,7;1.017,6;1,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,79;-392,80;-392,79;-392,80;0,38;;;11,56;11,60;11,52;76,5;139,2;8.350,6;2,3;327,9;1,7;85,4;-21,1;
20/11/2024 00:38:00;0,9;2,1;3,7;0,6;0,7;1;105;115;115;38;20,0;20,0;20,0;19,9;0,0;64;64;65;64;0;12,9;12,9;13,0;12,9;0,0;1.017,7;1.017,7;1.017,7;1.017,6;0,6;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,80;-392,80;-392,79;-392,80;0,38;;;11,55;11,58;11,49;56,4;122,3;7.335,3;2,0;222,4;40,5;39,1;16,9;
20/11/2024 00:39:00;0,9;1,4;2,6;0,1;0,6;115;99;115;1;46;19,9;19,9;20,0;19,9;0,0;64;64;64;64;0;12,8;12,8;12,9;12,8;0,0;1.017,8;1.017,7;1.017,8;1.017,7;0,8;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-392,79;-392,80;-392,79;-392,80;0,41;;;11,56;11,60;11,52;60,4;71,5;4.287,1;1,2;134,4;21,9;26,2;50,8;
